,Market_1_Price,Market_2_Price,Transmission System Electricity Demand [MW],Wind Generation [MW],Solar Generation [MW],Coal Generation [MW],Gas Generation [MW]
1/1/18 0:00,48.47,52.18,25506,10715.5,0.0152,1520,3796
1/1/18 0:30,49.81,51.6,26267,10650.5,0.00851,1640,3796
1/1/18 1:00,53.65,55.14,26122,10560,0.0019,1766.25,3796
1/1/18 1:30,52.48,55.84,25152,10497,0.0039,1785,3687.25
1/1/18 2:00,47.25,49.96,24292,10464,0.0019,1586.25,3257.5
1/1/18 2:30,47.18,52.16,23683,10430,0.0038,1520,3052
1/1/18 3:00,40.24,47.12,22860,10358.75,0.00585,1520,2312.5
1/1/18 3:30,38.56,42.4,21939,10301.5,0.00607,1520,2099
1/1/18 4:00,37.55,38.9,21419,10208.5,0.0103,1429.16666666666,2252.75
1/1/18 4:30,36.56,41.24,21139,10061.25,0.00633,1445.83333333333,2304
1/1/18 5:00,39.25,42.51,21184,9998.25,0.00648,1520,2303
1/1/18 5:30,41.23,46.33,21462,9903.5,0.00635,1520,2303
1/1/18 6:00,45.68,52.32,22335,9704.25,0.00491,1520,2382.5
1/1/18 6:30,44.83,48.27,22806,9510.75,0,1520,3001.5
1/1/18 7:00,48.87,53.35,23410,9365.75,0.00769,1520,3740.25
1/1/18 7:30,50.73,50.94,23604,9234,0.0019,1520,3920.5
1/1/18 8:00,45.01,47.7,24311,9063,0.00387,1520,4210.76666666666
1/1/18 8:30,48.87,48.96,25484,8811.75,5.94,1520,4511.67857142857
1/1/18 9:00,44.41,45.16,26885,8633.25,104,1355,5046.20833333333
1/1/18 9:30,42.59,44.03,28032,8434.75,346,1290,5737.5
1/1/18 10:00,46.15,47.4,29224,8264,596,1290,6971.03333333333
1/1/18 10:30,46.19,41.34,30161,8137.5,772,1290,7746.56666666666
1/1/18 11:00,54.83,51.46,31193,7825.75,974,1290,9082.08333333333
1/1/18 11:30,60.57,59.84,31840,7649.75,1230,1290,9878.5
1/1/18 12:00,58.75,60.6,32339,7309.25,1540,1290,10601.75
1/1/18 12:30,59.88,55.7,32536,7031.25,1840,1290,10877.4166666666
1/1/18 13:00,58.03,54.58,32880,6834.75,1820,1290,11303.25
1/1/18 13:30,59.72,57.71,32803,6722,1710,1353.33333333333,11859.4666666666
1/1/18 14:00,55.94,52.57,32952,6737,1380,1606.08333333333,12405.25
1/1/18 14:30,52.55,59.08,32995,6768,1310,1876,12570.75
1/1/18 15:00,59.43,69.78,33507,6938.75,796,2140.5,12343.0833333333
1/1/18 15:30,61.01,69.28,34416,7273.5,384,2235,12623.25
1/1/18 16:00,63.07,74.56,35996,7707.5,74.1,2235,13307.1666666666
1/1/18 16:30,64.91,71.87,38136,8216.5,1.8,2235,13704.25
1/1/18 17:00,63.27,72.77,38708,8754,0.00461,2235,13887.75
1/1/18 17:30,61.55,70.17,38356,9098.75,0,2235,13900.25
1/1/18 18:00,58.82,64.53,37421,9509.5,0.00321,2235,13907.5
1/1/18 18:30,55.67,62.36,36757,9790.75,0.00351,2235,13306.25
1/1/18 19:00,46.13,53.9,35598,10001,0.00832,1975.5,12141.7916666666
1/1/18 19:30,47.03,53.72,34449,10138.5,0.0019,1487.3,11445.75
1/1/18 20:00,48.91,59.55,33469,10235.25,0,1290,10561.25
1/1/18 20:30,45.87,56,32154,10319.25,0.00373,1290,9789.33333333333
1/1/18 21:00,46.95,51.97,31060,10410.75,0.00201,1290,8466.54166666666
1/1/18 21:30,46.71,53.69,29608,10310.75,0,1290,7818.5
1/1/18 22:00,46.08,52.36,28119,10226.75,0,1290,6970.625
1/1/18 22:30,45.77,52.16,26747,10086.5,0.00188,1290,6328
1/1/18 23:00,45.25,47.28,25181,10022.25,0.0019,1290,5987.5
1/1/18 23:30,39.33,41.08,24092,9892.25,0.00395,1290,5870
1/2/18 0:00,40.23,46.73,24004,9641,0.00961,1279.66666666666,5870.25
1/2/18 0:30,40.6,44,24832,9428.5,0.00237,1282.75,5793.75
1/2/18 1:00,38.95,45.09,24829,9221.75,0.00751,1285,5643
1/2/18 1:30,38.8,40.39,24339,8936.5,0.0086,1277.5,5505.5
1/2/18 2:00,37.28,43.9,24063,8559.25,0.00549,1282.5,5467
1/2/18 2:30,37.66,41.94,24049,8130.25,0.00933,1285,5303
1/2/18 3:00,41.06,42.83,23874,7876.5,0,1298.08333333333,5221.88541666666
1/2/18 3:30,44.07,50.99,23500,7538,0.00749,1296,5330.81034482758
1/2/18 4:00,42.21,45.7,23427,7297.75,0.00532,1318.75,5790.58333333333
1/2/18 4:30,43.08,43.72,23520,7059.25,0.00514,1329,6650.58333333333
1/2/18 5:00,54.59,58.99,24354,6904,0.00735,1385.5,6971.75
1/2/18 5:30,55.53,62.02,25417,6736.75,0.00514,1440.5,7371.33333333333
1/2/18 6:00,58.52,58.82,28042,6550.5,0.00703,1607.5,8923.48333333333
