Day_Time,market_1_price,market_2_price,market_3_price
2018-01-01T00:00:00.0,48.47,52.18,48.6
2018-01-01T00:30:00.0,49.81,51.6,48.6
2018-01-01T01:00:00.0,53.65,55.14,48.6
2018-01-01T01:30:00.0,52.48,55.84,48.6
2018-01-01T02:00:00.0,47.25,49.96,48.6
2018-01-01T02:30:00.0,47.18,52.16,48.6
2018-01-01T03:00:00.0,40.24,47.12,48.6
2018-01-01T03:30:00.0,38.56,42.4,48.6
2018-01-01T04:00:00.0,37.55,38.9,48.6
2018-01-01T04:30:00.0,36.56,41.24,48.6
2018-01-01T05:00:00.0,39.25,42.51,48.6
2018-01-01T05:30:00.0,41.23,46.33,48.6
2018-01-01T06:00:00.0,45.68,52.32,48.6
2018-01-01T06:30:00.0,44.83,48.27,48.6
2018-01-01T07:00:00.0,48.87,53.35,48.6
2018-01-01T07:30:00.0,50.73,50.94,48.6
2018-01-01T08:00:00.0,45.01,47.7,48.6
2018-01-01T08:30:00.0,48.87,48.96,48.6
2018-01-01T09:00:00.0,44.41,45.16,48.6
2018-01-01T09:30:00.0,42.59,44.03,48.6
2018-01-01T10:00:00.0,46.15,47.4,48.6
2018-01-01T10:30:00.0,46.19,41.34,48.6
2018-01-01T11:00:00.0,54.83,51.46,48.6
2018-01-01T11:30:00.0,60.57,59.84,48.6
2018-01-01T12:00:00.0,58.75,60.6,48.6
2018-01-01T12:30:00.0,59.88,55.7,48.6
2018-01-01T13:00:00.0,58.03,54.58,48.6
2018-01-01T13:30:00.0,59.72,57.71,48.6
2018-01-01T14:00:00.0,55.94,52.57,48.6
2018-01-01T14:30:00.0,52.55,59.08,48.6
2018-01-01T15:00:00.0,59.43,69.78,48.6
2018-01-01T15:30:00.0,61.01,69.28,48.6
2018-01-01T16:00:00.0,63.07,74.56,48.6
2018-01-01T16:30:00.0,64.91,71.87,48.6
2018-01-01T17:00:00.0,63.27,72.77,48.6
2018-01-01T17:30:00.0,61.55,70.17,48.6
2018-01-01T18:00:00.0,58.82,64.53,48.6
2018-01-01T18:30:00.0,55.67,62.36,48.6
2018-01-01T19:00:00.0,46.13,53.9,48.6
2018-01-01T19:30:00.0,47.03,53.72,48.6
2018-01-01T20:00:00.0,48.91,59.55,48.6
2018-01-01T20:30:00.0,45.87,56.0,48.6
2018-01-01T21:00:00.0,46.95,51.97,48.6
2018-01-01T21:30:00.0,46.71,53.69,48.6
2018-01-01T22:00:00.0,46.08,52.36,48.6
2018-01-01T22:30:00.0,45.77,52.16,48.6
2018-01-01T23:00:00.0,45.25,47.28,48.6
2018-01-01T23:30:00.0,39.33,41.08,48.6
2018-01-02T00:00:00.0,40.23,46.73,49.6
2018-01-02T00:30:00.0,40.6,44.0,49.6
2018-01-02T01:00:00.0,38.95,45.09,49.6
2018-01-02T01:30:00.0,38.8,40.39,49.6
2018-01-02T02:00:00.0,37.28,43.9,49.6
2018-01-02T02:30:00.0,37.66,41.94,49.6
2018-01-02T03:00:00.0,41.06,42.83,49.6
2018-01-02T03:30:00.0,44.07,50.99,49.6
2018-01-02T04:00:00.0,42.21,45.7,49.6
2018-01-02T04:30:00.0,43.08,43.72,49.6
2018-01-02T05:00:00.0,54.59,58.99,49.6
2018-01-02T05:30:00.0,55.53,62.02,49.6
2018-01-02T06:00:00.0,58.52,58.82,49.6
2018-01-02T06:30:00.0,48.16,53.53,49.6
2018-01-02T07:00:00.0,43.64,45.42,49.6
2018-01-02T07:30:00.0,48.24,50.04,49.6
2018-01-02T08:00:00.0,51.96,52.79,49.6
2018-01-02T08:30:00.0,53.68,54.05,49.6
2018-01-02T09:00:00.0,50.84,50.6,49.6
2018-01-02T09:30:00.0,50.46,47.37,49.6
2018-01-02T10:00:00.0,51.01,51.28,49.6
2018-01-02T10:30:00.0,51.98,49.43,49.6
2018-01-02T11:00:00.0,52.38,51.11,49.6
2018-01-02T11:30:00.0,52.59,48.85,49.6
2018-01-02T12:00:00.0,51.94,47.34,49.6
2018-01-02T12:30:00.0,50.2,49.07,49.6
2018-01-02T13:00:00.0,46.63,45.88,49.6
2018-01-02T13:30:00.0,45.63,47.57,49.6
2018-01-02T14:00:00.0,46.09,41.79,49.6
2018-01-02T14:30:00.0,45.56,47.0,49.6
2018-01-02T15:00:00.0,54.11,59.94,49.6
2018-01-02T15:30:00.0,55.46,64.36,49.6
2018-01-02T16:00:00.0,53.69,60.36,49.6
2018-01-02T16:30:00.0,64.71,69.98,49.6
2018-01-02T17:00:00.0,77.94,89.69,49.6
2018-01-02T17:30:00.0,73.13,82.11,49.6
2018-01-02T18:00:00.0,71.63,81.76,49.6
2018-01-02T18:30:00.0,65.18,76.6,49.6
2018-01-02T19:00:00.0,60.09,65.73,49.6
2018-01-02T19:30:00.0,54.67,65.84,49.6
2018-01-02T20:00:00.0,53.43,61.01,49.6
2018-01-02T20:30:00.0,49.58,57.08,49.6
2018-01-02T21:00:00.0,50.96,53.23,49.6
2018-01-02T21:30:00.0,47.73,47.74,49.6
2018-01-02T22:00:00.0,47.42,52.26,49.6
2018-01-02T22:30:00.0,47.13,51.98,49.6
2018-01-02T23:00:00.0,48.52,53.04,49.6
2018-01-02T23:30:00.0,43.08,46.83,49.6
2018-01-03T00:00:00.0,45.97,47.71,48.2
2018-01-03T00:30:00.0,47.84,54.8,48.2
2018-01-03T01:00:00.0,51.28,54.93,48.2
2018-01-03T01:30:00.0,49.45,52.26,48.2
2018-01-03T02:00:00.0,48.71,52.08,48.2
2018-01-03T02:30:00.0,49.83,50.5,48.2
2018-01-03T03:00:00.0,47.58,52.88,48.2
2018-01-03T03:30:00.0,46.51,52.39,48.2
2018-01-03T04:00:00.0,44.08,45.6,48.2
2018-01-03T04:30:00.0,44.35,50.63,48.2
2018-01-03T05:00:00.0,49.61,49.82,48.2
2018-01-03T05:30:00.0,48.31,49.75,48.2
2018-01-03T06:00:00.0,55.74,59.87,48.2
2018-01-03T06:30:00.0,49.69,50.09,48.2
2018-01-03T07:00:00.0,52.0,53.25,48.2
2018-01-03T07:30:00.0,55.73,62.01,48.2
2018-01-03T08:00:00.0,44.06,44.08,48.2
